user_email,date_of_transaction,amount
user3@hotmail.com,2022-01-01,49.4
user3@hotmail.com,2022-01-03,81.78
user3@hotmail.com,2022-01-05,59.57
user1@gmail.com,2022-01-07,13.78
user2@yahoo.com,2022-01-09,18.59
user1@gmail.com,2022-01-11,75.53
user3@hotmail.com,2022-01-13,55.77
user2@yahoo.com,2022-01-15,10.53
user2@yahoo.com,2022-01-17,50.23
user1@gmail.com,2022-01-19,51.94
user3@hotmail.com,2022-01-21,3.27
user2@yahoo.com,2022-01-23,17.34
user2@yahoo.com,2022-01-25,33.83
user1@gmail.com,2022-01-27,41.41
user1@gmail.com,2022-01-29,99.29
user3@hotmail.com,2022-01-31,16.37
user3@hotmail.com,2022-02-02,40.76
user2@yahoo.com,2022-02-04,86.41
user1@gmail.com,2022-02-06,27.93
user3@hotmail.com,2022-02-08,96.07
user2@yahoo.com,2022-02-10,85.3
user3@hotmail.com,2022-02-12,53.73
user2@yahoo.com,2022-02-14,71.98
user2@yahoo.com,2022-02-16,86.77
user2@yahoo.com,2022-02-18,56.4
user1@gmail.com,2022-02-20,91.59
user3@hotmail.com,2022-02-22,93.24
user3@hotmail.com,2022-02-24,32.84
user3@hotmail.com,2022-02-26,83.98
user2@yahoo.com,2022-02-28,22.38
user1@gmail.com,2022-03-02,37.36
user2@yahoo.com,2022-03-04,53.46
user3@hotmail.com,2022-03-06,34.91
user3@hotmail.com,2022-03-08,28.45
user3@hotmail.com,2022-03-10,73.35
user2@yahoo.com,2022-03-12,12.03
user1@gmail.com,2022-03-14,58.21
user3@hotmail.com,2022-03-16,44.43
user3@hotmail.com,2022-03-18,79.44
user2@yahoo.com,2022-03-20,89.94
user2@yahoo.com,2022-03-22,29.02
user2@yahoo.com,2022-03-24,74.06
user3@hotmail.com,2022-03-26,70.21
user1@gmail.com,2022-03-28,4.56
user2@yahoo.com,2022-03-30,57.99
user1@gmail.com,2022-04-01,86.23
user1@gmail.com,2022-04-03,89.98
user2@yahoo.com,2022-04-05,16.83
user2@yahoo.com,2022-04-07,22.89
user2@yahoo.com,2022-04-09,20.87
user3@hotmail.com,2022-04-11,16.11
user3@hotmail.com,2022-04-13,26.06
user3@hotmail.com,2022-04-15,93.26
user2@yahoo.com,2022-04-17,84.88
user2@yahoo.com,2022-04-19,67.4
user1@gmail.com,2022-04-21,69.92
user2@yahoo.com,2022-04-23,30.15
user1@gmail.com,2022-04-25,79.68
user2@yahoo.com,2022-04-27,38.21
user1@gmail.com,2022-04-29,66.88
user2@yahoo.com,2022-05-01,90.68
user1@gmail.com,2022-05-03,81.81
user2@yahoo.com,2022-05-05,50.5
user1@gmail.com,2022-05-07,47.85
user1@gmail.com,2022-05-09,49.71
user3@hotmail.com,2022-05-11,30.94
user1@gmail.com,2022-05-13,1.63
user2@yahoo.com,2022-05-15,16.4
user3@hotmail.com,2022-05-17,8.97
user2@yahoo.com,2022-05-19,92.12
user3@hotmail.com,2022-05-21,56.45
user1@gmail.com,2022-05-23,24.62
user2@yahoo.com,2022-05-25,82.16
user3@hotmail.com,2022-05-27,8.75
user2@yahoo.com,2022-05-29,16.57
user1@gmail.com,2022-05-31,69.97
user1@gmail.com,2022-06-02,30.75
user2@yahoo.com,2022-06-04,61.96
user3@hotmail.com,2022-06-06,18.8
user1@gmail.com,2022-06-08,60.74
user1@gmail.com,2022-06-10,28.39
user1@gmail.com,2022-06-12,38.75
user1@gmail.com,2022-06-14,83.63
user2@yahoo.com,2022-06-16,26.86
user1@gmail.com,2022-06-18,21.3
user2@yahoo.com,2022-06-20,12.73
user1@gmail.com,2022-06-22,19.79
user3@hotmail.com,2022-06-24,41.46
